Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-12-01,87,00:15:00,Friday,main staiton,Utilized Off Route,10,20,E/B,7736
2017-12-01,25,00:15:00,Friday,Freshmeadow & Don Mills,Mechanical,10,20,S/B,7675
2017-12-01,133,00:16:00,Friday,Ellesmere andBellamy,Mechanical,13,26,W/B,1750
2017-12-01,97,00:20:00,Friday,Yonge & Castlefield,Diversion,18,38,S/B,8357
2017-12-01,196,00:46:00,Friday,Sheppard West Station,Utilized Off Route,10,20,N/B,8376
2017-12-01,37,02:14:00,Friday,Woodbine Racetrack,Mechanical,0,0,S/B,7915
2017-12-01,53,02:32:00,Friday,Warden and Steeles,Emergency Services,19,19,E/B,1290
2017-12-01,320,03:29:00,Friday,Yonge and Drewry,Emergency Services,4,7,S/B,1596
2017-12-01,300,04:44:00,Friday,Terminal 3,Mechanical,30,60,E/B,7502
2017-12-01,34,04:52:00,Friday,Eglinton STN,Late Leaving Garage,15,29,E/B,8630
2017-12-01,34,05:01:00,Friday,Eglinton STN,Late Leaving Garage,14,26,E/B,8858
2017-12-01,57,05:08:00,Friday,Midland and Steeles,Late Leaving Garage,20,40,S/B,1724
2017-12-01,94,05:15:00,Friday,castle frank stn,Late Leaving Garage,13,26,N/B,7853
2017-12-01,86,05:21:00,Friday,Kennedy Station,Late Leaving Garage,6,12,E/B,8751
2017-12-01,70,05:24:00,Friday,Eglinton Yard,Late Leaving Garage,1,1,W/B,8758
2017-12-01,300,05:26:00,Friday,Kipling Stn,Utilized Off Route,8,16,E/B,1587
2017-12-01,80,05:29:00,Friday,Donland stn,Late Leaving Garage,12,24,N/B,7753
2017-12-01,29,05:30:00,Friday,On Dufferin between Auburn Ave to Davenport,Diversion,18,27,B/W,9052
2017-12-01,87,05:30:00,Friday,Broadview station,Utilized Off Route,5,10,B/W,7818
2017-12-01,24,05:31:00,Friday,Steels ave and Victoria park,Mechanical,0,14,S/B,7820
2017-12-01,300,05:33:00,Friday,Danforth & Danforth,Late Leaving Garage,25,35,W/B,7683
2017-12-01,185,05:39:00,Friday,Eglinton Yard,Late Leaving Garage,1,1,S/B,8701
