Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-05-01,199,01:03:00,Tuesday,Brahms and Finch Ave,Mechanical,9,18,W/B,1776
2018-05-01,64,01:04:00,Tuesday,main station,Emergency Services,20,40,S/B,9215
2018-05-01,84,01:04:00,Tuesday,Goddard on Shepperd,Investigation,10,20,W/B,8418
2018-05-01,320,02:03:00,Tuesday,Adelaide on Yonge,Mechanical,3,6,S/B,8357
2018-05-01,320,02:28:00,Tuesday,SYON,Utilized Off Route,3,7,S/B,8882
2018-05-01,320,02:59:00,Tuesday,Queensquay on Yonge,Mechanical,3,6,N/B,8945
2018-05-01,334,03:11:00,Tuesday,Mount. Pleasant Rd and Eglinton Ave,Diversion,117,147,B/W,8918
2018-05-01,354,03:11:00,Tuesday,Mount Pleasant Rd and Eglinton Ave,Diversion,117,147,B/W,8621
2018-05-01,81,04:30:00,Tuesday,Thornecliffe Park - Route,General Delay,15,1,B/W,
2018-05-01,72,04:30:00,Tuesday,PAPE - Route,General Delay,20,1,B/W,
2018-05-01,34,04:40:00,Tuesday,Eglinton ave Mt Pleasant rd,Diversion,25,33,BW,8827
2018-05-01,52,04:48:00,Tuesday,Lawrence and Dufferin,Late Leaving Garage,22,32,W/B,1421
2018-05-01,191,05:02:00,Tuesday,Martin Grove R and Royal Crest,Late Leaving Garage,26,1,N/B,8600
2018-05-01,89,05:16:00,Tuesday,Albion and Weston,Late Leaving Garage,15,30,S/B,1026
2018-05-01,50,05:17:00,Tuesday,Mill rd loop,Late Leaving Garage,20,0,E/B,8433
2018-05-01,68,05:17:00,Tuesday,EGGA,Mechanical,7,14,N/B,8656
2018-05-01,34,05:19:00,Tuesday,Eglinton station,Mechanical,4,8,E/B,8854
2018-05-01,169,05:19:00,Tuesday,McCowan and Sheppard,Mechanical,20,0,N/B,8377
2018-05-01,96,05:20:00,Tuesday,Finch Ave West at Humberline Dr.,Late Leaving Garage,15,30,E/B,8584
2018-05-01,52,05:45:00,Tuesday,Lawrence Stn,Mechanical,11,11,E/B,1055
2018-05-01,36,05:47:00,Tuesday,Finch West Station,Late Leaving Garage,18,0,W/B,9113
2018-05-01,165,05:47:00,Tuesday,Weston Rd and Finch Ave West,Late Leaving Garage,3,13,N/B,1319
2018-05-01,53,05:50:00,Tuesday,PAMK,Late Leaving Garage,4,9,W/B,1277
2018-05-01,60,05:50:00,Tuesday,Steeles & Martin Grove,Mechanical,10,20,E/B,8522
2018-05-01,199,05:56:00,Tuesday,Morningside - Nightstar,Late Leaving Garage,7,14,W/B,1651
2018-05-01,38,05:57:00,Tuesday,RHGO,Late Leaving Garage,15,30,W/B,1285
2018-05-01,32,05:58:00,Tuesday,Mount Dennis to Emmett and Verona,Late Leaving Garage,12,24,E/B,1586
2018-05-01,52,05:58:00,Tuesday,Lawrence Stn,Mechanical,18,32,W/B,1019
2018-05-01,160,05:59:00,Tuesday,Wilson Station,Late Leaving Garage,20,40,N/B,8390
2018-05-01,102,06:00:00,Tuesday,Castlemore and Mingay,Diversion,960,980,N/B,
2018-05-01,24,06:07:00,Tuesday,STEELES,Late Leaving Garage,9,16,S/B,7767
2018-05-01,98,06:08:00,Tuesday,Sheppard and Yonge Stn,Mechanical,30,60,,8335
2018-05-01,124,06:10:00,Tuesday,Lawrence Stn,Late Leaving Garage,12,24,,1700
2018-05-01,199,06:13:00,Tuesday,Scar Town Centre Station,Late Leaving Garage,7,18,W/B,1283
2018-05-01,191,06:24:00,Tuesday,Martin Grove and Royalcrest,Late Leaving Garage,5,7,N/B,8511
2018-05-01,29,06:27:00,Tuesday,Dufferin and Bloor,Late Leaving Garage,9,18,N/B,9056
2018-05-01,84,06:27:00,Tuesday,Pioneer Village Stn,Late Leaving Garage,18,36,71181,8523
2018-05-01,143,06:30:00,Tuesday,Downtown Express West of Yonge St,General Delay,20,1,B/W,
2018-05-01,116,06:36:00,Tuesday,Kingston rd/Eglinton,Utilized Off Route,10,20,W/B,8816
2018-05-01,84,06:37:00,Tuesday,Rivalda & Sheppard,Late Leaving Garage,9,17,W/B,8446
2018-05-01,63,06:40:00,Tuesday,Ossington stn for time,Mechanical,13,26,N/B,8337
