Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-08-01,505,01:17:00,Monday,Dundas and Victoria,Diversion,1,1,W/B,4035
2016-08-01,501,05:03:00,Monday,Roncesvalles Yard,Late Leaving Garage,13,23,N/B,4052
2016-08-01,511,05:11:00,Monday,Bathurst & Dundas,Emergency Services,149,159,B/W,4136
2016-08-01,511,06:24:00,Monday,College / Spadina,Mechanical,6,12,N/B,4089
2016-08-01,501,07:34:00,Monday,Queen/River,Investigation,8,16,E/B,4238
2016-08-01,505,08:43:00,Monday,Roncesvalles and Dundas,Mechanical,6,12,N/B,4094
2016-08-01,512,09:19:00,Monday,Gunns Loop,Late Leaving Garage,6,11,E/B,1686
2016-08-01,512,09:58:00,Monday,St. Clair and Avenue,Mechanical,6,11,W/B,1534
2016-08-01,501,12:25:00,Monday,Sherboune and Queen,Mechanical,5,11,W/B,4092
2016-08-01,501,14:41:00,Monday,Louisa and Lakeshore,Mechanical,10,20,W/B,4035
2016-08-01,505,14:50:00,Monday,Dundas at Euclid,Emergency Services,6,12,E/B,4183
2016-08-01,512,15:33:00,Monday,Gunn's loop,Mechanical,5,9,E/B,8192
2016-08-01,501,16:24:00,Monday,Neville Park Loop,Mechanical,5,11,W/B,4201
2016-08-01,511,17:02:00,Monday,King and Bathurst,Mechanical,1,1,N/B,4037
2016-08-01,505,18:43:00,Monday,Dundas West station,Mechanical,8,16,W/B,4191
2016-08-01,505,21:22:00,Monday,Dundas West station,Mechanical,20,30,E/B,4167
2016-08-01,501,22:47:00,Monday,Queen and Mutual,Mechanical,9,18,W/B,4218
2016-08-02,501,00:35:00,Tuesday,Queen and Church,Held By,9,18,E/B,4238
2016-08-02,505,01:29:00,Tuesday,Broadview and Dundas,Mechanical,15,25,W/B,4011
2016-08-02,317,03:48:00,Tuesday,Spadina and King,Mechanical,0,0,N/B,4415
2016-08-02,505,06:00:00,Tuesday,Dundas West Stn to Broadview Stn,General Delay,20,30,B/W,
2016-08-02,512,06:03:00,Tuesday,StClair station,Mechanical,2,4,W/B,1511
2016-08-02,501,06:04:00,Tuesday,Russell Yard,Late Leaving Garage,1,1,W/B,4089
2016-08-02,512,06:09:00,Tuesday,StClair station,Late Leaving Garage,2,4,W/B,8387
2016-08-02,501,06:15:00,Tuesday,Russell yard,Late Leaving Garage,5,10,E/B,4059
2016-08-02,505,06:25:00,Tuesday,Roncesvalles Yard.,Mechanical,6,12,E/B,4077
2016-08-02,512,06:39:00,Tuesday,Gunns loop,Late Leaving Garage,2,4,E/B,1370
2016-08-02,512,06:43:00,Tuesday,Gunns loop,Late Leaving Garage,2,4,E/B,8394
2016-08-02,512,06:47:00,Tuesday,Gunns,Late Leaving Garage,2,4,E/B,8169
2016-08-02,511,07:00:00,Tuesday,Fleet Loop,Mechanical,5,10,S/B,4035
2016-08-02,502,07:15:00,Tuesday,McCaul Loop,Mechanical,25,37,E/B,4068
2016-08-02,505,07:19:00,Tuesday,Dundas West Stn,Mechanical,6,12,E/B,4096
2016-08-02,501,07:22:00,Tuesday,Roncesvalles yard,Mechanical,5,10,E/B,4050
2016-08-02,501,07:40:00,Tuesday,Russell Yard,Mechanical,5,10,E/B,4219
2016-08-02,501,08:15:00,Tuesday,Roncesvalles yard,Mechanical,5,10,W/B,4223
2016-08-02,505,09:10:00,Tuesday,Lansdowne/Dundas,Mechanical,21,32,E/B,4094
2016-08-02,505,10:00:00,Tuesday,Dundas/River,Investigation,6,12,W/B,4153
2016-08-02,506,10:44:00,Tuesday,Broadview To McCaul,Mechanical,5,10,W/B,4180
2016-08-02,501,10:55:00,Tuesday,Peter/Richmond,Investigation,57,20,N/B,8350
2016-08-02,514,11:11:00,Tuesday,King & John,Emergency Services,6,21,W/B,4044
2016-08-02,501,11:20:00,Tuesday,Queen/Pape,Mechanical,5,10,W/B,4224
2016-08-02,511,11:36:00,Tuesday,Bathurst & Harbord,Held By,6,12,S/B,4198
2016-08-02,501,11:46:00,Tuesday,Queen/Logan,Mechanical,0,0,W/B,4002
2016-08-02,502,11:55:00,Tuesday,Queen & Logan,Held By,20,30,W/B,4179
2016-08-02,511,12:24:00,Tuesday,Bathurst & Ulster,Emergency Services,13,18,S/B,4181
2016-08-02,501,14:14:00,Tuesday,Queen/Connaught,Mechanical,5,11,E/B,4050
2016-08-02,504,14:50:00,Tuesday,Roncy Yard,Held By,4,8,N/B,4171
2016-08-02,501,15:04:00,Tuesday,Queen/University,Mechanical,19,25,W/B,4106
2016-08-02,501,15:10:00,Tuesday,Queen/University,Mechanical,14,19,W/B,4204
2016-08-02,504,15:32:00,Tuesday,River Street,Mechanical,4,8,W/B,4161
2016-08-02,511,16:07:00,Tuesday,Bathurst and Nassau,Mechanical,4,8,S/B,4015
2016-08-02,504,17:09:00,Tuesday,Roncy and Queen,Investigation,18,22,W/B,4082
2016-08-02,514,17:18:00,Tuesday,King and Sumach,Mechanical,9,18,E/B,4044
2016-08-02,505,17:21:00,Tuesday,Yonge and Dundas,Mechanical,27,33,W/B,4153
2016-08-02,505,17:26:00,Tuesday,Yonge and Dundas,Utilized Off Route,27,33,W/B,4029
2016-08-02,506,17:50:00,Tuesday,Carlton and Sherbourne,Investigation,4,10,W/B,4039
2016-08-02,514,18:12:00,Tuesday,King and Sumach,Mechanical,9,18,E/B,4070
2016-08-02,501,18:28:00,Tuesday,Neville Loop,Mechanical,5,11,W/B,4205
2016-08-02,501,20:38:00,Tuesday,Spadina and King,Mechanical,5,10,E/B,4169
