Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-05-01,510,00:42:00,Tuesday,Spadina and Nassau,Mechanical,7,14,N/B,4416
2018-05-01,304,02:08:00,Tuesday,Dundas West Platfrom,Investigation,15,30,W/B,4154
2018-05-01,301,02:44:00,Tuesday,Windermere and queensway,Utilized Off Route,9,18,W/B,8023
2018-05-01,304,03:20:00,Tuesday,Russell  Yard,Investigation,15,30,E/B,4105
2018-05-01,502,05:10:00,Tuesday,Birchmount Garage,Mechanical,12,24,W/B,
2018-05-01,509,05:34:00,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4434
2018-05-01,509,05:37:00,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4452
2018-05-01,509,05:49:00,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4467
2018-05-01,514,05:55:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4425
2018-05-01,504,05:56:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4472
2018-05-01,504,05:59:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4405
2018-05-01,509,06:00:00,Tuesday,Leslie Barns,Late Leaving Garage,6,12,W/B,4450
2018-05-01,510,06:05:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4461
2018-05-01,511,06:06:00,Tuesday,Queen and Bathurst,Mechanical,5,10,W/B,4189
2018-05-01,514,06:13:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4457
2018-05-01,504,06:14:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4404
2018-05-01,514,06:17:00,Tuesday,Leslie Barns,Late Leaving Garage,8,19,W/B,4428
2018-05-01,504,06:22:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4433
2018-05-01,514,06:31:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4465
2018-05-01,510,06:41:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4426
2018-05-01,504,06:47:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4427
2018-05-01,514,07:07:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4439
2018-05-01,504,07:07:00,Tuesday,Leslie barns,Late Leaving Garage,4,8,W/B,4409
2018-05-01,514,07:13:00,Tuesday,King and Dufferin,General Delay,10,20,B/W,4425
2018-05-01,510,07:13:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4400
2018-05-01,510,07:15:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4423
2018-05-01,514,07:19:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4460
2018-05-01,514,07:26:00,Tuesday,Leslie barns,Late Leaving Garage,8,16,W/B,4443
2018-05-01,511,07:29:00,Tuesday,Bathurst Route,General Delay,7,14,S/B,
2018-05-01,504,07:50:00,Tuesday,Broadview Stn,Investigation,14,18,W/B,4014
2018-05-01,514,07:55:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4470
2018-05-01,514,08:07:00,Tuesday,Leslie Barns,Late Leaving Garage,8,16,W/B,4430
2018-05-01,511,08:16:00,Tuesday,Bathurst at Richmond,Mechanical,4,9,S/B,4038
2018-05-01,510,08:23:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4464
2018-05-01,510,08:49:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4447
2018-05-01,510,08:55:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4471
2018-05-01,504,09:16:00,Tuesday,Dundas & Munro,Investigation,2,4,E/B,4176
2018-05-01,510,09:20:00,Tuesday,Leslie barns,Late Leaving Garage,4,8,W/B,4420
2018-05-01,509,09:24:00,Tuesday,Leslie Bans,Late Leaving Garage,6,12,W/B,4419
2018-05-01,505,09:27:00,Tuesday,Broadview Station,Mechanical,4,8,W/B,7791
2018-05-01,510,09:35:00,Tuesday,Leslie Barns,Late Leaving Garage,4,8,W/B,4403
2018-05-01,501,10:22:00,Tuesday,Queensway & Windermere,Mechanical,6,12,W/B,7659
2018-05-01,505,10:59:00,Tuesday,Dundas Route,General Delay,4,8,W/B,
2018-05-01,503,11:10:00,Tuesday,King and Bay,Mechanical,9,18,W/B,4086
2018-05-01,501,11:26:00,Tuesday,Neville Park loop,Mechanical,6,12,W/B,4198
2018-05-01,501,12:15:00,Tuesday,Queen and Connaught,Mechanical,6,12,E/B,4240
2018-05-01,501,12:52:00,Tuesday,Queen and Victoria,Investigation,12,17,E/B,4042
2018-05-01,505,13:11:00,Tuesday,Broadview Station,Mechanical,4,8,E/B,7732
2018-05-01,504,13:59:00,Tuesday,King/Dufferin,Mechanical,3,7,W/B,4473
2018-05-01,501,14:18:00,Tuesday,Queen and Dufferin,Held By,21,26,W/B,4170
2018-05-01,504,14:26:00,Tuesday,Leslie Carhouse,Mechanical,4,9,N/B,4441
2018-05-01,504,14:34:00,Tuesday,King/Queen,Mechanical,10,14,N/B,4409
2018-05-01,504,14:38:00,Tuesday,Broadview/Queen,Late Leaving Garage,5,9,W/B,4156
2018-05-01,504,14:58:00,Tuesday,King/Queen,General Delay,12,17,W/B,4039
