Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 00:00,2018,1,1,00:00,-16.9,,-21.1,,70.0,,,M,,M,,,101.64,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 01:00,2018,1,1,01:00,-16.3,,-20.6,,69.0,,,M,,M,,,101.61,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 02:00,2018,1,1,02:00,-17.6,,-21.5,,71.0,,,M,,M,,,101.67,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 03:00,2018,1,1,03:00,-18.6,,-22.0,,75.0,,,M,,M,,,101.63,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 04:00,2018,1,1,04:00,-17.8,,-21.1,,75.0,,,M,,M,,,101.6,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 05:00,2018,1,1,05:00,-17.1,,-20.0,,78.0,,,M,,M,,,101.55,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 06:00,2018,1,1,06:00,-15.7,,-19.3,,74.0,,,M,,M,,,101.5,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 07:00,2018,1,1,07:00,-13.9,,-17.2,,76.0,,,M,,M,,,101.43,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 08:00,2018,1,1,08:00,-13.9,,-17.2,,76.0,,,M,,M,,,101.4,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 09:00,2018,1,1,09:00,-13.7,,-17.5,,73.0,,,M,,M,,,101.35,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 10:00,2018,1,1,10:00,-11.3,,-16.7,,65.0,,,M,,M,,,101.34,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 11:00,2018,1,1,11:00,-9.3,,-16.1,,58.0,,,M,,M,,,101.32,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 12:00,2018,1,1,12:00,-9.5,,-16.3,,57.0,,,M,,M,,,101.23,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 13:00,2018,1,1,13:00,-8.6,,-15.9,,55.0,,,M,,M,,,101.14,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 14:00,2018,1,1,14:00,-8.2,,-15.5,,56.0,,,M,,M,,,101.09,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 15:00,2018,1,1,15:00,-8.9,,-13.6,,69.0,,,M,,M,,,101.14,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 16:00,2018,1,1,16:00,-9.6,,-18.0,,50.0,,,M,,M,,,101.21,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 17:00,2018,1,1,17:00,-10.8,,-17.1,,60.0,,,M,,M,,,101.26,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 18:00,2018,1,1,18:00,-11.4,,-18.0,,58.0,,,M,,M,,,101.35,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 19:00,2018,1,1,19:00,-12.3,,-18.4,,61.0,,,M,,M,,,101.42,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 20:00,2018,1,1,20:00,-12.3,,-19.1,,57.0,,,M,,M,,,101.43,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 21:00,2018,1,1,21:00,-12.5,,-18.3,,62.0,,,M,,M,,,101.47,,,,,,
-79.4,43.67,TORONTO CITY,6158355,2018-01-01 22:00,2018,1,1,22:00,-13.0,,-18.2,,65.0,,,M,,M,,,101.5,,,,,,
