date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2019-11-16,-3.4,-6.14,-6.75,-10.1,,-18,77,67.2,66,55,-7.5,-11.3,-11.2,-15,32,25.58,25.5,19,42,7,103.8,103.45,103.4,103,101.54,101.24,101.17,100.81,24100,23900,21700,19300,2.5,2.3,2.4,2.2,24.8,0,0,0,0,0,0,0,8,07:12:00,16:52:00,9.67,7.2,16.87,2,2,-3,-2,-5,-4,,,,,,8,4.1,4,0,,,,
2019-11-15,3,0.07,-1.6,-6.2,,-12,84,71,66,48,-2.1,-4.7,-7.8,-13.5,28,19.67,20.5,13,46,24,103.3,102.4,102.65,102,101.08,100.24,100.48,99.87,24100,22766.7,20100,16100,3.1,2.8,2.8,2.4,19.6,0,0,0,0,0,0,0,12,07:11:00,16:53:00,9.7,7.18,16.88,1,1,2,4,-12,-11,,,,,,8,6.6,4,0,,,,
2019-11-14,0.5,-0.81,-1,-2.5,,-8,89,73.2,78,67,-4,-5.1,-5.2,-6.5,26,15.83,16.5,7,41,20,102.2,102.14,102.1,102,100.07,99.97,99.95,99.84,24100,22033.3,16900,9700,3.6,3,3,2.4,19,0,0,0,0,0.4,0,0.4,14,07:10:00,16:54:00,9.73,7.17,16.9,1,1,0,1,-4,-4,,,,,,8,8,8,8,,,,
2019-11-13,-1.7,-7.45,-7.8,-13.9,,-21,93,76.8,76,59,-4.5,-10.9,-10.8,-17.1,21,13.5,11,1,35,16,103,102.72,102.65,102.3,100.79,100.52,100.44,100.1,24100,20537.5,13050,2000,3.1,2.6,2.7,2.3,25.8,0,0,0,0,1.8,0,2,13,07:09:00,16:55:00,9.77,7.15,16.92,2,2,-4,-4,-4,-4,,,,,,8,5.6,4.5,1,,,,
2019-11-12,-4.7,-7.48,-7.55,-10.4,,-16,88,72,67.5,47,-8.5,-11.9,-12.2,-15.9,34,14.5,19.5,5,45,33,102.5,102.22,102.15,101.8,100.34,100.03,99.99,99.65,24100,22695.8,14450,4800,2.7,2.2,2.3,1.9,25.6,0,0,0,0,0.2,0,0.2,13,07:07:00,16:56:00,9.82,7.12,16.93,1,2,-5,-5,-12,-8,,,,,,8,4.6,4.5,1,,,,
2019-11-11,-1,-3.67,-3.9,-6.8,,-14,90,81.5,74.5,59,-4,-6.5,-6.5,-9.1,35,25.96,26.5,18,45,7,102.4,102.12,102.1,101.8,100.25,99.95,99.96,99.67,24100,8050,12450,800,2.2,2.1,2,1.8,21.9,0,0,0,0,12.2,0,13.6,0,07:06:00,16:57:00,9.85,7.1,16.95,,,-3,-2,-8,-8,,,,,,8,8,8,8,,,,
2019-11-10,7.4,3.41,3.1,-1.2,,-6,90,76,78.5,67,1.8,-0.5,-0.4,-2.7,27,17.5,18.5,10,45,27,102,101.42,101.55,101.1,99.83,99.28,99.4,98.97,24100,23100,20100,16100,2.5,2.2,2.1,1.8,14.9,0,0,0,0,0.6,0.4,0.2,0,07:05:00,16:58:00,9.88,7.08,16.97,2,2,7,7,-3,-3,,,,,,8,7.7,7,6,,,,
2019-11-09,3.3,0.76,-0.39,-4.1,,-9,82,66,68.5,55,-2.2,-5,-5.2,-8.2,31,22.54,21,11,50,20,102.5,101.82,101.9,101.3,100.32,99.67,99.76,99.21,24100,24100,24100,24100,2.9,2.4,2.5,2.2,18.4,0,0,0,0,0,0,0,0,07:03:00,16:59:00,9.93,7.05,16.98,1,1,3,3,3,3,,,,,,8,7,6,4,,,,
2019-11-08,0.6,-3,-2.6,-5.8,,-12,80,67.2,66,52,-6,-8.4,-8.1,-10.2,25,10.96,15.5,6,30,4,102.9,102.65,102.6,102.3,100.67,100.47,100.42,100.17,24100,24100,24100,24100,2.8,2.2,2.3,1.8,20.6,0,0,0,0,0,0,0,0,07:02:00,17:00:00,9.97,7.03,17,2,2,0,0,-5,-5,,,,,,6,2.3,3,0,,,,
2019-11-07,2.6,-0.09,-0.19,-3,,-7,97,81.3,80.5,64,1,-3,-2.2,-5.3,20,11.46,11.5,3,32,33,102.4,102.28,102.25,102.1,100.28,100.13,100.13,99.99,24100,19887.5,13650,3200,2.6,2.4,2.3,2,18.2,0,0,0,0,3.6,1.6,2,1,07:01:00,17:02:00,10.02,7.02,17.03,1,1,2,2,-5,-4,,,,,,8,6.3,4.5,1,,,,
